id_ciclo,id_talhao,inicio_ciclo,fim_ciclo,chuva_soma_ciclo_mm,chuva_soma_f5_mm,et0_soma_ciclo_mm,et0_soma_f5_mm
T001_P_2019,T001,2019-04-01,2020-04-01,1588.0,899.6,1384.9,440.7
T001_S1_2020,T001,2020-04-01,2021-04-01,1268.2,523.8,1679.6,666.0
T001_S2_2021,T001,2021-04-01,2022-04-01,1370.1,605.0,1527.1,462.9
T001_S3_2022,T001,2022-04-01,2023-04-01,1308.5,740.3,1442.7,473.3
T001_S4_2023,T001,2023-04-01,2024-04-01,1508.5,625.7,1443.4,449.7
T001_S5_2024,T001,2024-04-01,2025-04-01,1485.3,820.1,1524.5,574.9
T001_S6_2025,T001,2025-04-01,2026-04-01,1441.8,732.4,1381.2,544.6
T002_P_2019,T002,2019-04-01,2020-04-01,1308.9,693.1,1300.2,435.9
T002_S1_2020,T002,2020-04-01,2021-04-01,1226.0,552.6,1398.8,517.0
T002_S2_2021,T002,2021-04-01,2022-04-01,1594.3,714.9,1568.9,590.1
T002_S3_2022,T002,2022-04-01,2023-04-01,1288.1,698.4,1623.8,543.8
T002_S4_2023,T002,2023-04-01,2024-04-01,1464.0,824.9,1522.1,537.2
T002_S5_2024,T002,2024-04-01,2025-04-01,1456.8,607.2,1364.7,532.0
T002_S6_2025,T002,2025-04-01,2026-04-01,1397.6,609.0,1446.6,541.6
